,ALT_GEO_CODE,CENSUS_YEAR,DATA_QUALITY_FLAG,GEO_CODE,GEO_CODE (POR),GEO_LEVEL,GEO_NAME,GNR,GNR_LF,Member ID: Profile of Census Tracts (2247),Profile_of_Census_Tracts,Total-Sex,area,average,format_CODE,percentage,higer/lower,absolute
57,541010601,2016,213,5410106.01,,2,106.01,8.1,12.6,742,Median total income of households in 2015 ($),19712,Kitchener - Cambridge - Waterloo,77229,5410106.01,-74.48%,lower,74.48%
59,537003700,2016,101,5370037,,,37,5.8,7.3,742,Median total income of households in 2015 ($),20552,Hamilton,75464,5370037.00,-72.77%,lower,72.77%
40,535003300,2016,1101,,5350033,2,33,10.7,8.2,742,Median total income of households in 2015 ($),22208,Toronto,78373,5350033.00,-71.66%,lower,71.66%
119,535009703,2016,101,,5350097.03,2,97.03,4.9,6.7,742,Median total income of households in 2015 ($),23573,Toronto,78373,5350097.03,-69.92%,lower,69.92%
39,535003200,2016,1111,,5350032,2,32,17.6,10.4,742,Median total income of households in 2015 ($),25736,Toronto,78373,5350032.00,-67.16%,lower,67.16%
463,535034103,2016,1,,5350341.03,2,341.03,3.5,9.8,742,Median total income of households in 2015 ($),25933,Toronto,78373,5350341.03,-66.91%,lower,66.91%
8,543000600,2016,1112,5430006,,2,6,13.9,14,742,Median total income of households in 2015 ($),26714,Brantford,68756,5430006.00,-61.15%,lower,61.15%
8,529000700,2016,1101,5290007,,,7,10.5,8,742,Median total income of households in 2015 ($),27920,Peterborough,64777,5290007.00,-56.90%,lower,56.90%
71,537004900,2016,1111,5370049,,,49,10.6,10.9,742,Median total income of households in 2015 ($),28555,Hamilton,75464,5370049.00,-62.16%,lower,62.16%
73,535006100,2016,2311,,5350061,2,61,27.7,10.2,742,Median total income of households in 2015 ($),28880,Toronto,78373,5350061.00,-63.15%,lower,63.15%
533,535037606,2016,2000,,5350376.06,2,376.06,23,1.2,742,Median total income of households in 2015 ($),28915,Toronto,78373,5350376.06,-63.11%,lower,63.11%
11,535000900,2016,3101,,5350009,2,9,32.4,9.2,742,Median total income of households in 2015 ($),29056,Toronto,78373,5350009.00,-62.93%,lower,62.93%
